feature_id	R1_N_1	R1_N_2	R1_N_3	R1_R_1	R1_R_2	R1_R_3	R1_U_1	R1_U_2	R1_U_3	U1_R_1	U1_R_2	U1_R_3	U1_U_1	U1_U_2	U1_U_3	U4_R_1	U4_R_2	U4_R_3	U4_U_1	U4_U_2	U4_U_3	U6_R_1	U6_R_2	U6_R_3	U6_U_1	U6_U_2	U6_U_3
ENSG00000004142.11	170.329426045139	142.103647049742	123.057965364605	54.2545973949191	49.9486709586884	48.4006018112578	110.513505846071	101.533409795474	114.504597704031	105.200103004124	93.7586568313909	96.7966921135503	137.763648121643	127.917778462438	129.573862660478	87.4732814321626	84.4658751669177	89.3314845570506	142.987391503444	122.432538077944	134.490998220733	67.9495516840863	72.3383145135851	69.9090822658573	89.3525541820002	96.574663292048	102.309007821687
ENSG00000244045.12	7.79530876490924	7.45676626363967	7.26488192617255	3.71388555274275	4.07141903259736	3.75784084249839	5.33579058082743	7.15176699374032	7.38286379238147	4.52778852418318	4.95506764957342	5.29523960362041	6.06419996474545	4.9940700315579	6.18111904857094	5.67969392068873	5.43506365978099	5.19041643452289	7.13059580344956	7.05332016896065	6.99760739227266	5.20903584067758	6.29037099174641	7.13874864826178	6.9753416442237	5.8972805950501	6.22444255589807
ENSG00000258924.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284532.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000265618.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000274529.5	0	0	0	0	0	0	0	0	0	0.171633789377298	0	0	0	0	0	0.347133731708562	0	0.322920102984093	0	0	0.407915640249069	0	0	0	0	0	0
ENSG00000273171.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004139.13	0.67851103833922	0.599585477496202	0.710550914273595	0.513547970838092	0.427093524302027	0.474441141539162	0.240318986741765	0.564478141098854	0.431508623943191	0.749258469241758	0.575999534070912	0.592232033162707	0.547520106256087	0.453658519981678	0.329338423176212	0.498211867435545	0.44172659152083	0.656568448592242	0.0997081878461722	0.282505812268131	0.329313955417022	0	0.0113950053509304	0.0616956592794466	0	0.0253511832603281	0.0526960592990255
ENSG00000109072.13	0.0662456709008047	0.125062431413178	0.224866957426226	0	0.311793310681553	0	0.174122214256915	0.0602389116376609	0.193180843351938	0	0.259131616170522	0.494114556192311	0.135808448276129	0.346957487778873	0.10794755485648	0.428660813321204	0.126686986242467	0.664600706388769	0.3050268062197	0.0462985936669341	0.559686477968438	0.0563400044572668	0	0.0566217187799915	0.0565027805912448	0	0
ENSG00000277450.1	0	0.494342868142968	0	0	0	0.922030768960269	0	0.476220972457991	0	0	0	0	0	0	0	0	1.33537162045806	0.350268385321508	0	0	0	0	0	0	0	0	0
ENSG00000279532.1	0	0	0	0.181856399085018	0.51559552465873	0.300014251267411	0	0	0	0.181729894634786	0.399944313161118	0	0	0.267747479440167	0	0.551330044478305	0.325881627568063	0.170957701579814	0.980789690905157	0.357286762574401	0.647866016866168	0	0	0.87390086791122	0	0	0
ENSG00000076351.12	4.43073495122106	3.58206215822657	4.21255452835465	1.22589496071141	1.04820653486374	1.17973197733004	1.83314836387498	1.6787427237834	1.64498244927491	6.47522302296816	6.41911132886816	5.69160962453293	4.77295308754269	4.94195303018741	4.61271277849724	6.41541932975808	6.72106950003319	6.15999553940707	7.35136785342061	8.90274464419648	9.09847560685678	1.20373388191213	0.98765968999643	0.701306003975704	0.874791072307674	1.45886873983109	1.19801176302781
ENSG00000265254.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000265541.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000263870.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000258472.8	6.84481644774601	5.51780655090965	5.13020546818579	4.44327513302038	3.6280749099976	6.68515285934773	4.59627454631872	3.45282403026409	3.75167343085463	3.87184067932118	4.61228508568124	3.35392922650984	2.50943879651057	2.77374074645644	1.91321778044186	6.35811351169496	5.38246471288264	4.97897040079606	6.44139267975947	6.07576243267835	4.85429752745124	1.06228395601139	0.907036052096386	0.55514973562073	1.49149431240624	1.66699391902896	1.45898325025046
ENSG00000263266.2	15.1159032140067	19.9756770256951	20.990465602825	4.69282769331186	8.6852139575419	3.22579425721712	16.614830977838	17.4939977745679	16.0290566432531	13.6778927534523	13.330793439878	13.324622531986	12.1137653594402	16.9852593324855	13.6592407297755	11.2631544642055	7.3582400317035	6.98501022762514	15.8183773225473	10.5643893600525	12.7708973524132	9.11581272118577	9.11121253490444	10.3359318035517	8.67332169968066	15.4440275129039	11.7876805912062
ENSG00000007216.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
