"Gene","Sample","Contribution","Scaled.Expression","Supports"
"HMGCS2","BBN963_PARENTAL_rep_1",0.112974040761874,-0.184676540873491,"Basal"
"HMGCS2","BBN963_PARENTAL_rep_2",0.103712969116578,-0.153399890341075,"Basal"
"HMGCS2","BBN963_PARENTAL_rep_3",0.143024593199957,-0.286163783701296,"Basal"
"PDGFC","BBN963_MP1_rep_1",-0.0178962948430013,0.0214822104995731,"Luminal"
"PDGFC","BBN963_MP1_rep_2",-0.010912627731925,0.0326019025138819,"Luminal"
"PDGFC","BBN963_MP1_rep_3",0.020202442968726,0.0821446424085049,"Basal"
"PDGFC","UPPL1541_PARENTAL_rep_1",0.0323422770834729,0.101474202983734,"Basal"
"PDGFC","UPPL1541_PARENTAL_rep_2",0.0383518638595645,0.111042922829704,"Basal"
"PDGFC","UPPL1541_PARENTAL_rep_3",0.0181758442832058,0.0789178057249741,"Basal"
"PDGFC","UPPL1541_MP1_rep_1",0.0856415432881726,0.186339563167488,"Basal"
"PDGFC","UPPL1541_MP1_rep_2",0.168557808601018,0.318362369895094,"Basal"
"PDGFC","UPPL1541_MP1_rep_3",0.205955634400027,0.377908779865036,"Basal"
"PDGFC","BBN963_PARENTAL_rep_1",-0.207387512268281,-0.280233771043083,"Luminal"
"PDGFC","BBN963_PARENTAL_rep_2",-0.148132760167702,-0.185885832737485,"Luminal"
"PDGFC","BBN963_PARENTAL_rep_3",-0.12511570457281,-0.149237097163377,"Luminal"
"CYP4B1","BBN963_MP1_rep_1",-0.0338414621842241,0.0250611640597118,"Luminal"
"CYP4B1","BBN963_MP1_rep_2",-0.0418485717088644,0.0601772725622125,"Luminal"
"CYP4B1","BBN963_MP1_rep_3",-0.0118193019244687,-0.071519576688402,"Luminal"
"CYP4B1","UPPL1541_PARENTAL_rep_1",-0.605081603063681,2.53030112691736,"Luminal"
"CYP4B1","UPPL1541_PARENTAL_rep_2",-0.664203646550106,2.78958771311553,"Luminal"
"CYP4B1","UPPL1541_PARENTAL_rep_3",-0.416586792202022,1.70363524829947,"Luminal"
"CYP4B1","UPPL1541_MP1_rep_1",-0.128180170557445,0.438794523023431,"Luminal"
"CYP4B1","UPPL1541_MP1_rep_2",-0.158106914356285,0.570041732660397,"Luminal"
